File,Total,Status Report,Query,Plan Announcement,Coordination,Help Request,Help Offer,Acknowledgment,Instruction,Other
3011,131,74,2,8,18,0,1,27,1,0
3012,65,24,4,4,12,1,0,19,1,0
3013,48,13,3,4,11,0,0,16,1,0
3014,67,23,4,6,12,1,0,20,1,0
3015,76,18,6,7,25,10,1,8,1,0
3016,79,26,7,5,24,9,1,6,1,0
3017,85,26,6,8,26,9,1,8,1,0
3018,87,25,5,0,16,5,1,34,1,0
3019,86,25,5,0,16,4,1,34,1,0
3020,88,25,5,0,16,6,1,34,1,0
3021,42,16,3,1,15,1,1,4,1,0
3022,41,18,2,1,14,1,1,3,1,0
3023,43,16,4,2,14,1,1,4,1,0
3024,83,20,14,1,39,5,0,1,2,1
3025,96,30,14,3,38,6,0,1,2,2
3026,98,30,13,3,38,6,0,1,4,3
3027,79,25,3,6,17,1,1,25,1,0
3028,76,21,2,5,19,2,1,25,1,0
3029,79,23,1,6,18,2,1,27,1,0
3030,46,14,11,1,12,3,0,4,1,0
3031,48,16,11,1,11,2,1,5,1,0
3032,47,15,10,1,13,3,0,4,1,0
3033,23,8,7,2,4,0,0,1,1,0
3034,26,8,5,1,9,1,0,1,1,0
3035,27,8,5,2,9,1,0,1,1,0
3036,95,34,5,0,11,2,0,27,1,15
3037,68,35,5,0,9,2,0,16,1,0
3038,97,36,6,0,9,2,0,28,1,15
3039,2,1,0,0,0,0,0,0,1,0
3040,2,1,0,0,0,0,0,0,1,0
3041,10,3,4,0,0,0,0,1,1,1
3042,9,4,3,0,0,0,0,1,1,0
3043,6,3,1,0,0,0,0,1,1,0
3044,6,2,2,0,0,0,0,1,1,0
3045,6,2,2,0,1,0,0,0,1,0
3046,5,2,1,0,1,0,0,0,1,0
3047,4,1,0,2,0,0,0,0,1,0
3048,5,2,0,2,0,0,0,0,1,0
3049,7,5,1,0,0,0,0,0,1,0
3050,6,4,1,0,0,0,0,0,1,0
3051,5,3,1,0,0,0,0,0,1,0
3052,6,3,2,0,0,0,0,0,1,0
3053,4,3,0,0,0,0,0,0,1,0
3054,3,2,0,0,0,0,0,0,1,0
3055,5,4,0,0,0,0,0,0,1,0
3056,4,3,0,0,0,0,0,0,1,0
3057,7,3,3,0,0,0,0,0,1,0
3058,6,2,3,0,0,0,0,0,1,0
3059,5,3,1,0,0,0,0,0,1,0
3060,5,3,1,0,0,0,0,0,1,0
3061,5,3,1,0,0,0,0,0,1,0
3062,5,3,1,0,0,0,0,0,1,0
3063,5,2,0,0,2,0,0,0,1,0
3064,5,2,0,0,2,0,0,0,1,0
3065,5,2,0,0,2,0,0,0,1,0
3066,5,2,0,0,2,0,0,0,1,0
3067,11,7,2,0,1,0,0,0,1,0
3068,11,7,2,0,1,0,0,0,1,0
3069,12,7,3,0,1,0,0,0,1,0
3070,11,6,3,0,1,0,0,0,1,0
3071,5,2,1,0,1,0,0,0,1,0
3072,6,2,1,1,0,0,0,0,1,1
